year,title,artist,rank,top_10
2005,Chain Hang Low,Jibbs,65,0
2005,Smack That,AkonFeaturingEminem,66,0
2005,One Wish,Ray J,67,0
2005,"Sugar, We're Goin' Down",Fall Out Boy,68,0
2005,Gimme That,Chris BrownFeaturingLil Wayne,69,0
2005,I Know You See It,Yung JocFeaturing Brandy 'Ms. B.' Hambrick,70,0
2005,Who Says You Can't Go Home,Bon Jovi,71,0
2005,Too Little Too Late,JoJo,72,0
2005,Touch It,Busta Rhymes,73,0
2005,Rompe,Daddy Yankee,74,0
2005,Deja Vu,Beyonce Featuring Jay Z,75,0
2005,Life Is A Highway,Rascal Flatts,76,0
2005,Call Me When You're Sober,Evanescence,77,0
2005,"Jesus, Take The Wheel",Carrie Underwood,78,0
2005,Show Stopper,Danity Kane,79,0
2005,Get Up,CiaraFeaturingChamillionaire,80,0
2005,We Be Burnin',Sean Paul,81,0
2005,Hate Me,Blue October,82,0
2005,You And Me,Lifehouse,83,0
2005,Beep,The Pussycat DollsFeaturingwill.i.am,84,0
2005,I Think They Like Me,"Dem Franchize Boyz FeaturingJermaine Dupri,Da Brat&Bow Wow",85,0
2005,Say Goodbye,Chris Brown,86,0
2005,Waiting On The World To Change,John Mayer,87,0
2005,Soul Survivor,YoungJeezyFeaturingAkon,88,0
2005,Pump It,The Black Eyed Peas,89,0
2005,When I'm Gone,Eminem,90,0
2005,Hung Up,Madonna,91,0
2005,Stay Fly,Three 6 MafiaFeaturingYoung Buck& Eightball & MJG,92,0
2005,Love,Keyshia Cole,93,0
2005,When You're Mad,Ne-Yo,94,0
2005,Why You Wanna,T.I.,95,0
2005,Stupid Girls,P!nk,96,0
2005,Feel Good Inc,Gorillaz,97,0
2005,I'm Sprung,T-Pain,98,0
2005,Do I Make You Proud,Taylor Hicks,99,0
2005,For You I Will (Confidence),Teddy Geiger,100,0
2006,Bad Day,Daniel Powter,1,1
2006,Temperature,Sean Paul,2,1
2006,Promiscuous,Nelly FurtadoFeaturingTimbaland,3,1
2006,You're Beautiful,James Blunt,4,1
2006,Hips Don't Lie,ShakiraFeaturingWyclef Jean,5,1
2006,Unwritten,Natasha Bedingfield,6,1
2006,Crazy,Gnarls Barkley,7,1
2006,Ridin',ChamillionaireFeaturing Krayzie Bone,8,1
2006,SexyBack,Justin Timberlake,9,1
2006,Check On It,Beyonce FeaturingSlim Thug,10,1
2006,Be Without You,Mary J. Blige,11,0
2006,Grillz,"NellyFeaturing Paul Wall,Ali& Gipp",12,0
2006,Over My Head (Cable Car),The Fray,13,0
2006,Me & U,Cassie,14,0
2006,Buttons,The Pussycat DollsFeaturingSnoop Dogg,15,0
2006,Run It!,Chris Brown,16,0
2006,So Sick,Ne-Yo,17,0
2006,It's Goin' Down,Yung Joc,18,0
2006,SOS,Rihanna,19,0
2006,I Write Sins Not Tragedies,Panic! At The Disco,20,0
2006,Move Along,The All-American Rejects,21,0
2006,London Bridge,Fergie,22,0
2006,Dani California,Red Hot Chili Peppers,23,0
2006,Snap Yo Fingers,Lil JonFeaturingE-40& Sean Paul Of The YoungBloodZ,24,0
2006,"Lean Wit It, Rock Wit It",Dem Franchize Boyz FeaturingLil Peanut& Charlay,25,0
2006,What Hurts The Most,Rascal Flatts,26,0
2006,How To Save A Life,The Fray,27,0
2006,Unfaithful,Rihanna,28,0
2006,Chasing Cars,Snow Patrol,29,0
2006,Lips Of An Angel,Hinder,30,0
2006,Everytime We Touch,Cascada,31,0
2006,Ain't No Other Man,Christina Aguilera,32,0
2006,"Dance, Dance",Fall Out Boy,33,0
2006,Gold Digger,Kanye WestFeaturing Jamie Foxx,34,0
2006,Money Maker,LudacrisFeaturing Pharrell,35,0
2006,Ms. New Booty,Bubba SparxxxFeaturing Ying Yang Twins & Mr. ColliPark,36,0
2006,(When You Gonna) Give It Up To Me,Sean PaulFeaturingKeyshia Cole,37,0
2006,Photograph,Nickelback,38,0
2006,Because Of You,Kelly Clarkson,39,0
2006,Stickwitu,The Pussycat Dolls,40,0
2006,I'm N Luv (Wit A Stripper),T-PainFeaturing Mike Jones,41,0
2006,My Humps,The Black Eyed Peas,42,0
2006,Where'd You Go,Fort MinorFeaturingHolly Brook,43,0
2006,Yo (Excuse Me Miss),Chris Brown,44,0
2006,Walk Away,Kelly Clarkson,45,0
2006,Laffy Taffy,D4L,46,0
2006,What You Know,T.I.,47,0
2006,Dirty Little Secret,The All-American Rejects,48,0
2006,Savin' Me,Nickelback,49,0
2006,Don't Forget About Us,Mariah Carey,50,0
2006,Sexy Love,Ne-Yo,51,0
2006,U And Dat,E-40FeaturingT-Pain& Kandi Girl,52,0
2006,Far Away,Nickelback,53,0
2006,What's Left Of Me,Nick Lachey,54,0
2006,So What,Field Mob FeaturingCiara,55,0
2006,Do It To It,CherishFeaturing Sean Paul Of The YoungBloodZ,56,0
2006,Black Horse & The Cherry Tree,KT Tunstall,57,0
2006,There It Go! (The Whistle Song),Juelz Santana,58,0
2006,Shoulder Lean,Young DroFeaturing T.I.,59,0
2006,Unpredictable,Jamie Foxx FeaturingLudacris,60,0
2006,My Love,Justin TimberlakeFeaturing T.I.,61,0
2006,Shake That,EminemFeaturingNate Dogg,62,0
2006,Pullin' Me Back,ChingyFeaturingTyrese,63,0
2006,Bossy,KelisFeaturingToo $hort,64,0
2006,Chain Hang Low,Jibbs,65,0
2006,Smack That,AkonFeaturingEminem,66,0
2006,One Wish,Ray J,67,0
2006,"Sugar, We're Goin' Down",Fall Out Boy,68,0
2006,Gimme That,Chris BrownFeaturingLil Wayne,69,0
2006,I Know You See It,Yung JocFeaturing Brandy 'Ms. B.' Hambrick,70,0
2006,Who Says You Can't Go Home,Bon Jovi,71,0
2006,Too Little Too Late,JoJo,72,0
2006,Touch It,Busta Rhymes,73,0
2006,Rompe,Daddy Yankee,74,0
2006,Deja Vu,Beyonce Featuring Jay Z,75,0
2006,Life Is A Highway,Rascal Flatts,76,0
2006,Call Me When You're Sober,Evanescence,77,0
2006,"Jesus, Take The Wheel",Carrie Underwood,78,0
2006,Show Stopper,Danity Kane,79,0
2006,Get Up,CiaraFeaturingChamillionaire,80,0
2006,We Be Burnin',Sean Paul,81,0
2006,Hate Me,Blue October,82,0
2006,You And Me,Lifehouse,83,0
2006,Beep,The Pussycat DollsFeaturingwill.i.am,84,0
2006,I Think They Like Me,"Dem Franchize Boyz FeaturingJermaine Dupri,Da Brat&Bow Wow",85,0
2006,Say Goodbye,Chris Brown,86,0
2006,Waiting On The World To Change,John Mayer,87,0
2006,Soul Survivor,YoungJeezyFeaturingAkon,88,0
2006,Pump It,The Black Eyed Peas,89,0
2006,When I'm Gone,Eminem,90,0
2006,Hung Up,Madonna,91,0
2006,Stay Fly,Three 6 MafiaFeaturingYoung Buck& Eightball & MJG,92,0
2006,Love,Keyshia Cole,93,0
2006,When You're Mad,Ne-Yo,94,0
2006,Why You Wanna,T.I.,95,0
2006,Stupid Girls,P!nk,96,0
2006,Feel Good Inc,Gorillaz,97,0
2006,I'm Sprung,T-Pain,98,0
2006,Do I Make You Proud,Taylor Hicks,99,0
2006,For You I Will (Confidence),Teddy Geiger,100,0
2007,Irreplaceable,Beyonce,1,1
2007,Umbrella,RihannaFeaturingJay-Z,2,1
2007,The Sweet Escape,Gwen StefaniFeaturingAkon,3,1
2007,Big Girls Don't Cry,Fergie,4,1
2007,Buy U A Drank (Shawty Snappin'),T-PainFeaturingYung Joc,5,1
2007,Before He Cheats,Carrie Underwood,6,1
2007,Hey There Delilah,Plain White T's,7,1
2007,I Wanna Love You,AkonFeaturingSnoop Dogg,8,1
2007,Say It Right,Nelly Furtado,9,1
2007,Glamorous,FergieFeaturingLudacris,10,1
2007,Don't Matter,Akon,11,0
2007,Girlfriend,Avril Lavigne,12,0
2007,Makes Me Wonder,Maroon 5,13,0
2007,Party Like A Rockstar,Shop Boyz,14,0
2007,Smack That,AkonFeaturingEminem,15,0
2007,This Is Why I'm Hot,Mims,16,0
2007,It's Not Over,Daughtry,17,0
2007,The Way I Are,TimbalandFeaturing Keri Hilson,18,0
2007,Fergalicious,Fergie,19,0
2007,Crank That (Soulja Boy),Soulja BoyTell'em,20,0
2007,Give It To Me,TimbalandFeaturingNelly Furtado&Justin Timberlake,21,0
2007,What Goes Around...Comes Around,Justin Timberlake,22,0
2007,Cupid's Chokehold/Breakfast In America,Gym Class HeroesFeaturingPatrick Stump,23,0
2007,How To Save A Life,The Fray,24,0
2007,Home,Daughtry,25,0
2007,My Love,Justin TimberlakeFeaturing T.I.,26,0
2007,Stronger,Kanye West,27,0
2007,We Fly High,Jim Jones,28,0
2007,U + Ur Hand,P!nk,29,0
2007,Walk It Out,Unk,30,0
2007,Beautiful Girls,Sean Kingston,31,0
2007,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,32,0
2007,Bartender,T-PainFeaturingAkon,33,0
2007,"Pop, Lock & Drop It",Huey,34,0
2007,Runaway Love,LudacrisFeaturingMary J. Blige,35,0
2007,Rockstar,Nickelback,36,0
2007,Thnks Fr Th Mmrs,Fall Out Boy,37,0
2007,What I've Done,Linkin Park,38,0
2007,Summer Love,Justin Timberlake,39,0
2007,You,Lloyd FeaturingLil Wayne,40,0
2007,Wait For You,Elliott Yamin,41,0
2007,Last Night,DiddyFeaturingKeyshia Cole,42,0
2007,Make It Rain,Fat JoeFeaturingLil Wayne,43,0
2007,Make Me Better,FabolousFeaturingNe-Yo,44,0
2007,Ice Box,Omarion,45,0
2007,Lips Of An Angel,Hinder,46,0
2007,Waiting On The World To Change,John Mayer,47,0
2007,Lost Without U,Robin Thicke,48,0
2007,I'm A Flirt,R. KellyOrBow Wow(Featuring T.I. &T-Pain),49,0
2007,If Everyone Cared,Nickelback,50,0
2007,Get It Shawty,Lloyd,51,0
2007,Face Down,The Red Jumpsuit Apparatus,52,0
2007,The Way I Live,Baby Boy da PrinceFeaturing Lil Boosie,53,0
2007,Shortie Like Mine,Bow WowFeaturingChris Brown& Johnta Austin,54,0
2007,It Ends Tonight,The All-American Rejects,55,0
2007,A Bay Bay,Hurricane Chris,56,0
2007,Because Of You,Ne-Yo,57,0
2007,I Tried,Bone Thugs-N-HarmonyFeaturingAkon,58,0
2007,Welcome To The Black Parade,My Chemical Romance,59,0
2007,Shawty,Plies FeaturingT-Pain,60,0
2007,Chasing Cars,Snow Patrol,61,0
2007,Beautiful Liar,Beyonce &Shakira,62,0
2007,SexyBack,Justin Timberlake,63,0
2007,Keep Holding On,Avril Lavigne,64,0
2007,Let It Go,Keyshia ColeFeaturingMissy Elliott& Lil Kim,65,0
2007,Apologize,TimbalandFeaturingOneRepublic,66,0
2007,Bubbly,Colbie Caillat,67,0
2007,Like A Boy,Ciara,68,0
2007,Who Knew,P!nk,69,0
2007,Never Again,Kelly Clarkson,70,0
2007,Promise,Ciara,71,0
2007,Bed,J. Holiday,72,0
2007,Throw Some D's,Rich Boy FeaturingPolow Da Don,73,0
2007,Rehab,Amy Winehouse,74,0
2007,Big Things Poppin' (Do It),T.I.,75,0
2007,No One,Alicia Keys,76,0
2007,The Great Escape,Boys Like Girls,77,0
2007,2 Step,Unk,78,0
2007,Walk Away (Remember Me),Paula DeAndaFeaturing The DEY,79,0
2007,Go Getta,YoungJeezyFeaturingR. Kelly,80,0
2007,Here (In Your Arms),Hellogoodbye,81,0
2007,On The Hotline,Pretty Ricky,82,0
2007,Wind It Up,Gwen Stefani,83,0
2007,Cyclone,Baby Bash FeaturingT-Pain,84,0
2007,Break It Off,Rihanna&Sean Paul,85,0
2007,First Time,Lifehouse,86,0
2007,Ayo Technology,50 CentFeaturingJustin Timberlake&Timbaland,87,0
2007,Outta My System,Bow WowFeaturingT-Pain& Johnta Austin,88,0
2007,Teardrops On My Guitar,Taylor Swift,89,0
2007,Shut Up And Drive,Rihanna,90,0
2007,Snow ((Hey Oh)),Red Hot Chili Peppers,91,0
2007,Money Maker,LudacrisFeaturing Pharrell,92,0
2007,Kiss Kiss,Chris BrownFeaturingT-Pain,93,0
2007,Far Away,Nickelback,94,0
2007,Rock Yo Hips,Crime Mob FeaturingLil Scrappy,95,0
2007,LoveStoned,Justin Timberlake,96,0
2007,Better Than Me,Hinder,97,0
2007,Paralyzer,Finger Eleven,98,0
2007,That's That,Snoop DoggFeaturingR. Kelly,99,0
2007,Same Girl,R. KellyDuet WithUsher,100,0
2008,Low,Flo RidaFeaturingT-Pain,1,1
2008,Bleeding Love,Leona Lewis,2,1
2008,No One,Alicia Keys,3,1
2008,Lollipop,Lil WayneFeaturingStatic Major,4,1
2008,Apologize,TimbalandFeaturingOneRepublic,5,1
2008,No Air,Jordin SparksDuet WithChris Brown,6,1
2008,Love Song,Sara Bareilles,7,1
2008,Love In This Club,UsherFeaturing YoungJeezy,8,1
2008,With You,Chris Brown,9,1
2008,Forever,Chris Brown,10,1
2008,Sexy Can I,Ray J&Yung Berg,11,0
2008,Take A Bow,Rihanna,12,0
2008,Viva La Vida,Coldplay,13,0
2008,I Kissed A Girl,Katy Perry,14,0
2008,Whatever You Like,T.I.,15,0
2008,Disturbia,Rihanna,16,0
2008,Don't Stop The Music,Rihanna,17,0
2008,Pocketful Of Sunshine,Natasha Bedingfield,18,0
2008,Kiss Kiss,Chris BrownFeaturingT-Pain,19,0
2008,Closer,Ne-Yo,20,0
2008,Bubbly,Colbie Caillat,21,0
2008,Touch My Body,Mariah Carey,22,0
2008,4 Minutes,MadonnaFeaturingJustin Timberlake& Timbaland,23,0
2008,So What,P!nk,24,0
2008,Paralyzer,Finger Eleven,25,0
2008,Clumsy,Fergie,26,0
2008,I'm Yours,Jason Mraz,27,0
2008,Leavin',Jesse McCartney,28,0
2008,Dangerous,Kardinal OffishallFeaturingAkon,29,0
2008,Tattoo,Jordin Sparks,30,0
2008,See You Again,Miley Cyrus,31,0
